Calle 1;584395;673095;551183;327889;143962;814243;112825;269159;317252
Calle 2;578211;677136;545491;327250;145966;820696;112253;268591;321547
Calle 3;583681;682609;556178;320552;146236;802125;112441;269621;317038
Calle 4;599874;666927;555770;323426;143566;823521;112632;273490;319080
Calle 5;574465;667702;555553;317763;143430;799200;111599;266009;314804
Calle 6;591732;696165;560151;325788;142217;806582;110790;267274;316133
Calle 7;589234;673163;550421;317342;143525;812254;112966;267844;312001
Calle 8;579637;687578;558888;326393;144025;823812;111543;263088;313711
Calle 9;589145;667423;555439;321062;144056;805196;113202;271347;313009
Calle 10;582830;665794;553632;321552;141614;821806;110850;268822;314589
Calle 11;585096;688999;562408;318488;143560;819803;113911;268946;317764
Calle 12;594735;680690;544188;323172;144947;832301;114427;269366;309610
Calle 13;586474;681004;554229;323117;140809;806768;112973;267188;311511
Calle 14;578412;673046;559401;330251;144171;833266;112312;266916;313392
Calle 15;580337;683420;547702;317782;143096;816404;112105;267538;314199
Calle 16;580904;686607;549080;327199;144383;801664;111627;271917;321785
Calle 17;589715;680573;562679;315273;143608;817116;111071;273256;316706
Calle 18;581535;689935;557924;323905;143506;819444;111046;267965;310423
Calle 19;590972;682366;553960;316863;142122;825870;110798;262476;318911
Calle 20;581606;666249;544897;327711;142739;818832;110252;274258;320144
Calle 21;585720;687835;548778;325146;146194;812131;112522;266278;310210
Calle 22;581391;671795;557296;318614;142017;819394;110726;268191;314678
Calle 23;588363;675060;561937;325191;141840;812860;111493;269759;319504
Calle 24;579212;679588;553286;326603;141023;804444;112388;266473;320735
Calle 25;574879;690096;549948;316375;144388;799266;112629;265852;312726
Calle 26;582911;692471;561130;321961;144051;815503;113128;268771;311680
Calle 27;586735;677809;556513;319147;142616;819802;112414;265322;315135
Calle 28;586439;684951;559211;325482;143287;819968;112049;266603;316670
Calle 29;596153;672637;552224;326336;140693;814688;112462;268568;312572
Calle 30;595006;688836;546703;322365;144395;822618;111873;272372;316745
Calle 31;587932;665504;546091;324671;143640;817126;111500;268147;325137
Calle 32;580534;674034;555268;318575;142881;812861;112998;264784;312550
Calle 33;571691;678029;541889;328353;142174;803456;112719;260979;318712
Calle 34;580708;683035;554835;328401;145651;806473;115937;265812;314556
Calle 35;593778;670578;544258;321718;140427;816491;111925;269881;308306
Calle 36;584319;694581;557790;325882;141064;801668;112988;265192;314522
Calle 37;586616;670250;549758;327023;144779;823913;112123;262399;317372
Calle 38;590680;670692;557712;321993;141395;808825;112936;259320;311592
Calle 39;588452;677528;543556;324694;142334;832160;113256;269303;320408
Calle 40;588056;659648;559039;318754;143803;826094;113560;263889;311604
Calle 41;577793;682548;552403;323835;145375;820064;110791;269707;315851
Calle 42;586545;686807;544878;322850;144505;809682;114399;270277;314952
Calle 43;585024;673560;552907;326434;142928;803840;112721;266392;316147
Calle 44;581579;679368;554845;320847;142366;822160;112062;267189;316318
Calle 45;589036;679441;567431;316177;144235;823332;113830;265570;319898
Calle 46;599757;680306;544694;321284;145314;811483;112644;269914;317834
Calle 47;575768;687413;554217;320424;145287;829653;113423;268210;321296
Calle 48;588068;655467;552756;321076;141293;803965;111047;270034;314823
Calle 49;578048;672178;548386;324478;141802;807417;112908;273590;314430
Calle 50;584075;675595;545615;322592;144849;804210;111292;268740;315316
Calle 51;601086;677297;558441;321531;145825;804195;111948;270345;314630
Calle 52;585405;679361;554830;331263;142407;822849;111586;268128;313423
Calle 53;589497;682254;540337;321462;144941;805961;112089;272178;309908
Calle 54;582505;676207;554888;324451;143712;792099;112955;263724;318984
Calle 55;581880;681195;558242;321983;145159;820497;111989;273668;312905
Calle 56;582902;675773;540642;328883;143364;791717;111367;269929;311163
Calle 57;595278;664812;552120;320565;143865;805144;113025;269959;314788
Calle 58;581360;677166;547194;323689;141407;799210;113110;268614;321002
Calle 59;591800;666658;554982;319579;145173;806729;112289;269181;310339
Calle 60;580634;672639;552066;328977;143223;796797;110759;266883;313607
Calle 61;578189;679659;549887;324424;143211;810986;111164;267022;312393
Calle 62;590338;670868;541282;317228;144285;818573;112068;263720;310288
Calle 63;588959;675768;552876;324667;142761;813675;111397;263259;315673
Calle 64;587852;688444;558227;323211;144124;806167;110489;266784;320266
Calle 65;590329;688478;541266;324479;144882;821731;110250;269012;316987
Calle 66;590743;675165;547337;329587;145700;811267;113036;273416;316339
Calle 67;569509;684189;552212;328187;146207;817540;111814;266705;316988
Calle 68;576812;681475;563293;317065;145712;827440;114127;267688;312532
Calle 69;582114;667816;547416;323180;144699;829779;111375;268289;311442
